pl_name,hostname,disc_facility,discoverymethod,disc_year,st_teff,st_met,st_rotp,st_mass,st_rad,sy_pnum,sy_snum,sy_dist,survey
Kepler-1315 c,Kepler-1315,Kepler,Transit,2021,4818.0,0.56,,0.809,0.856,2,1,480.869,Kepler
Kepler-169 c,Kepler-169,Kepler,Transit,2014,4997.0,0.17,,0.825,0.763,5,1,406.529,Kepler
Kepler-862 b,Kepler-862,Kepler,Transit,2016,5333.0,0.04,,0.88,0.84,1,1,1039.03,Kepler
Kepler-1698 b,Kepler-1698,Kepler,Transit,2020,4975.03,0.08,,0.822,0.741698,1,1,222.345,Kepler
Kepler-138 c,Kepler-138,Kepler,Transit,2014,3841.0,-0.18,,0.535,0.535,4,1,66.8624,Kepler
Kepler-1001 b,Kepler-1001,Kepler,Transit,2016,5491.0,-0.03,,0.9,0.88,2,1,928.978,Kepler
Kepler-383 b,Kepler-383,Kepler,Transit,2014,4710.0,-0.1785,,0.669,0.672,2,1,470.0,Kepler
Kepler-1059 b,Kepler-1059,Kepler,Transit,2016,4906.0,-0.15,,0.75,0.72,1,1,713.167,Kepler
Kepler-933 b,Kepler-933,Kepler,Transit,2016,5346.0,-0.02,,0.87,0.84,1,1,1017.2,Kepler
Kepler-493 b,Kepler-493,Kepler,Transit,2016,6457.0,0.11,,1.36,1.54,1,1,1745.77,Kepler
Kepler-1240 b,Kepler-1240,Kepler,Transit,2016,5682.0,0.04,,0.98,0.96,1,1,862.186,Kepler
Kepler-518 b,Kepler-518,Kepler,Transit,2016,5842.0,-0.23,,0.96,0.88,1,1,337.901,Kepler
Kepler-1119 b,Kepler-1119,Kepler,Transit,2016,6083.0,0.03,,1.11,1.17,1,1,1757.23,Kepler
Kepler-1991 b,Kepler-1991,Kepler,Transit,2023,5478.0,0.16,,0.914,1.053,2,1,855.82,Kepler
Kepler-1414 b,Kepler-1414,Kepler,Transit,2016,4951.0,-0.02,,0.8,0.75,1,1,570.835,Kepler
Kepler-852 b,Kepler-852,Kepler,Transit,2016,6100.0,0.22,,1.19,1.16,1,1,1619.03,Kepler
Kepler-301 b,Kepler-301,Kepler,Transit,2014,5815.0,0.187,,1.022,0.9,3,1,719.166,Kepler
Kepler-1357 b,Kepler-1357,Kepler,Transit,2016,5597.0,-0.06,,0.93,0.9,1,1,1015.69,Kepler
Kepler-132 e,Kepler-132,Kepler,Transit,2016,6023.0,-0.13,,1.03,1.1,4,2,349.549,Kepler
Kepler-282 e,Kepler-282,Kepler,Transit,2013,5656.0,-0.2,,0.97,0.89,4,1,1337.61,Kepler
Kepler-1320 b,Kepler-1320,Kepler,Transit,2016,4817.0,0.1,,0.8,0.74,1,1,647.424,Kepler
Kepler-380 c,Kepler-380,Kepler,Transit,2014,6045.0,-0.16,,0.99,1.224,2,1,813.713,Kepler
Kepler-756 b,Kepler-756,Kepler,Transit,2016,5282.0,-0.19,,0.82,0.79,1,1,852.0,Kepler
Kepler-1807 b,Kepler-1807,Kepler,Transit,2021,6455.0,-0.36,,1.087,1.496,1,1,1299.32,Kepler
Kepler-1283 b,Kepler-1283,Kepler,Transit,2016,6175.0,0.04,,1.16,1.25,1,1,2921.99,Kepler
Kepler-1613 b,Kepler-1613,Kepler,Transit,2016,6005.0,0.01,,1.08,1.12,1,1,1508.33,Kepler
Kepler-1705 c,Kepler-1705,Kepler,Transit,2021,6312.0,-0.2,,1.139,1.259,2,1,1633.49,Kepler
Kepler-1032 b,Kepler-1032,Kepler,Transit,2016,4647.0,0.16,,0.77,0.71,1,1,673.01,Kepler
Kepler-1899 b,Kepler-1899,Kepler,Transit,2021,4791.0,0.07,,0.759,0.742,1,1,711.509,Kepler
Kepler-600 b,Kepler-600,Kepler,Transit,2016,5279.0,-0.09,,0.84,0.81,1,1,619.723,Kepler
Kepler-62 f,Kepler-62,Kepler,Transit,2013,4925.0,-0.37,,0.69,0.64,5,1,300.874,Kepler
Kepler-294 c,Kepler-294,Kepler,Transit,2014,5913.0,0.11,,0.947,0.976,2,1,1357.01,Kepler
Kepler-21 b,Kepler-21,Kepler,Transit,2012,6305.0,-0.03,13.42,1.408,1.902,1,2,108.522,Kepler
Kepler-1453 b,Kepler-1453,Kepler,Transit,2016,5665.0,0.01,,0.97,0.94,1,1,1196.04,Kepler
Kepler-951 b,Kepler-951,Kepler,Transit,2016,4834.0,-0.01,,0.77,0.73,1,2,382.509,Kepler
Kepler-36 b,Kepler-36,Kepler,Transit,2012,5979.0,-0.18,,1.034,1.634,2,1,527.956,Kepler
Kepler-42 d,Kepler-42,Kepler,Transit,2011,3068.0,-0.33,,0.13,0.17,3,1,40.0595,Kepler
Kepler-108 c,Kepler-108,Kepler,Transit,2014,5854.0,0.3261,,1.247,2.192,2,2,338.732,Kepler
Kepler-125 b,Kepler-125,Kepler,Transit,2014,3810.0,-0.14,,0.542101,0.512,2,1,183.365,Kepler
Kepler-1407 b,Kepler-1407,Kepler,Transit,2016,6010.0,0.05,,1.1,1.15,1,1,1396.41,Kepler
Kepler-302 b,Kepler-302,Kepler,Transit,2014,5740.0,0.16,,1.021,1.22,2,1,1402.58,Kepler
Kepler-167 e,Kepler-167,Kepler,Transit,2016,4884.0,0.02,,0.777,0.749,4,2,341.908,Kepler
Kepler-471 b,Kepler-471,Kepler,Transit,2016,6733.0,0.07,,1.49,1.8,1,1,1249.41,Kepler
Kepler-213 c,Kepler-213,Kepler,Transit,2014,5696.0,0.15,,1.07,1.195,2,1,634.939,Kepler
Kepler-1561 b,Kepler-1561,Kepler,Transit,2016,5957.0,0.04,,1.07,1.11,1,1,839.076,Kepler
Kepler-1702 b,Kepler-1702,Kepler,Transit,2020,5093.0,-0.24,,0.85,0.725742,1,1,857.14,Kepler
